,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.059522150       -0.220378812        0.185781761},{    0.051842819       -0.209506489        0.188570885},{    0.264534343       -0.072874230        0.078397590},{    0.261731384       -0.077355500        0.076525542}
,{    0.059791365       -0.220642731        0.185574128},{    0.052083538       -0.209785257        0.188375515},{    0.264508858       -0.072681096        0.078431235},{    0.261712194       -0.077164998        0.076556451}
,{    0.060061358       -0.220905816        0.185366280},{    0.052325068       -0.210063293        0.188179879},{    0.264483166       -0.072488010        0.078464961},{    0.261692802       -0.076974535        0.076587441}
,{    0.060332128       -0.221168065        0.185158218},{    0.052567407       -0.210340593        0.187983978},{    0.264457266       -0.072294973        0.078498769},{    0.261673207       -0.076784113        0.076618512}
,{    0.060603672       -0.221429474        0.184949945},{    0.052810553       -0.210617156        0.187787815},{    0.264431159       -0.072101983        0.078532659},{    0.261653409       -0.076593730        0.076649664}
,{    0.060875989       -0.221690042        0.184741463},{    0.053054504       -0.210892977        0.187591391},{    0.264404843       -0.071909042        0.078566631},{    0.261633410       -0.076403389        0.076680898}
,{    0.061149075       -0.221949766        0.184532773},{    0.053299258       -0.211168056        0.187394709},{    0.264378320       -0.071716151        0.078600684},{    0.261613208       -0.076213087        0.076712213}
,{    0.061422929       -0.222208643        0.184323878},{    0.053544813       -0.211442389        0.187197770},{    0.264351589       -0.071523308        0.078634819},{    0.261592803       -0.076022827        0.076743609}
,{    0.061697549       -0.222466672        0.184114781},{    0.053791167       -0.211715973        0.187000576},{    0.264324650       -0.071330515        0.078669035},{    0.261572196       -0.075832608        0.076775086}
,{    0.061972932       -0.222723851        0.183905482},{    0.054038319       -0.211988805        0.186803130},{    0.264297503       -0.071137772        0.078703332},{    0.261551386       -0.075642430        0.076806644}
,{    0.062249076       -0.222980176        0.183695984},{    0.054286267       -0.212260884        0.186605433},{    0.264270148       -0.070945079        0.078737711},{    0.261530375       -0.075452294        0.076838282}
,{    0.062525979       -0.223235645        0.183486290},{    0.054535009       -0.212532207        0.186407488},{    0.264242586       -0.070752437        0.078772172},{    0.261509160       -0.075262199        0.076870002}
,{    0.062803638       -0.223490257        0.183276400},{    0.054784542       -0.212802770        0.186209296},{    0.264214816       -0.070559844        0.078806713},{    0.261487743       -0.075072147        0.076901803}
,{    0.063082052       -0.223744009        0.183066318},{    0.055034865       -0.213072572        0.186010860},{    0.264186838       -0.070367303        0.078841336},{    0.261466124       -0.074882138        0.076933684}
,{    0.063361217       -0.223996898        0.182856046},{    0.055285976       -0.213341610        0.185812182},{    0.264158652       -0.070174813        0.078876040},{    0.261444303       -0.074692171        0.076965646}
,{    0.063641132       -0.224248923        0.182645585},{    0.055537872       -0.213609881        0.185613262},{    0.264130259       -0.069982375        0.078910826},{    0.261422279       -0.074502247        0.076997689}
,{    0.063921794       -0.224500081        0.182434938},{    0.055790553       -0.213877383        0.185414105},{    0.264101658       -0.069789988        0.078945692},{    0.261400052       -0.074312367        0.077029812}
,{    0.064203201       -0.224750370        0.182224106},{    0.056044016       -0.214144112        0.185214711},{    0.264072849       -0.069597653        0.078980639},{    0.261377623       -0.074122530        0.077062016}
,{    0.064485351       -0.224999788        0.182013093},{    0.056298259       -0.214410068        0.185015082},{    0.264043833       -0.069405370        0.079015667},{    0.261354992       -0.073932736        0.077094301}
,{    0.064768241       -0.225248332        0.181801899},{    0.056553280       -0.214675247        0.184815221},{    0.264014608       -0.069213140        0.079050776},{    0.261332158       -0.073742987        0.077126666}
,{    0.065051869       -0.225496001        0.181590527},{    0.056809077       -0.214939646        0.184615129},{    0.263985176       -0.069020963        0.079085966},{    0.261309122       -0.073553282        0.077159111}
,{    0.065336233       -0.225742792        0.181378979},{    0.057065647       -0.215203264        0.184414809},{    0.263955537       -0.068828839        0.079121237},{    0.261285883       -0.073363622        0.077191637}
,{    0.065621330       -0.225988703        0.181167257},{    0.057322990       -0.215466097        0.184214263},{    0.263925690       -0.068636768        0.079156588},{    0.261262443       -0.073174006        0.077224243}
,{    0.065907158       -0.226233733        0.180955363},{    0.057581103       -0.215728144        0.184013492},{    0.263895635       -0.068444751        0.079192020},{    0.261238799       -0.072984435        0.077256929}
,{    0.066193714       -0.226477878        0.180743300},{    0.057839984       -0.215989401        0.183812498},{    0.263865372       -0.068252788        0.079227533},{    0.261214953       -0.072794910        0.077289696}
,{    0.066480997       -0.226721137        0.180531069},{    0.058099631       -0.216249867        0.183611285},{    0.263834902       -0.068060879        0.079263127},{    0.261190905       -0.072605431        0.077322542}
,{    0.066769004       -0.226963507        0.180318672},{    0.058360041       -0.216509539        0.183409852},{    0.263804224       -0.067869024        0.079298800},{    0.261166655       -0.072415997        0.077355469}
,{    0.067057732       -0.227204987        0.180106111},{    0.058621214       -0.216768414        0.183208204},{    0.263773339       -0.067677225        0.079334555},{    0.261142202       -0.072226609        0.077388476}
,{    0.067347179       -0.227445575        0.179893389},{    0.058883146       -0.217026491        0.183006341},{    0.263742246       -0.067485480        0.079370389},{    0.261117547       -0.072037268        0.077421562}
,{    0.067637343       -0.227685268        0.179680508},{    0.059145836       -0.217283767        0.182804265},{    0.263710946       -0.067293790        0.079406305},{    0.261092689       -0.071847973        0.077454729}
,{    0.067928221       -0.227924065        0.179467469},{    0.059409281       -0.217540239        0.182601980},{    0.263679438       -0.067102156        0.079442300},{    0.261067629       -0.071658726        0.077487975}
,{    0.068219811       -0.228161963        0.179254275},{    0.059673480       -0.217795905        0.182399486},{    0.263647722       -0.066910578        0.079478376},{    0.261042367       -0.071469525        0.077521302}
,{    0.068512111       -0.228398961        0.179040928},{    0.059938430       -0.218050763        0.182196785},{    0.263615799       -0.066719057        0.079514531},{    0.261016902       -0.071280372        0.077554708}
,{    0.068805117       -0.228635056        0.178827429},{    0.060204130       -0.218304811        0.181993880},{    0.263583669       -0.066527591        0.079550767},{    0.260991235       -0.071091267        0.077588194}
,{    0.069098829       -0.228870247        0.178613781},{    0.060470577       -0.218558046        0.181790773},{    0.263551331       -0.066336182        0.079587083},{    0.260965366       -0.070902209        0.077621759}
,{    0.069393242       -0.229104532        0.178399986},{    0.060737769       -0.218810466        0.181587465},{    0.263518785       -0.066144830        0.079623479},{    0.260939295       -0.070713200        0.077655404}
,{    0.069688356       -0.229337908        0.178186047},{    0.061005703       -0.219062068        0.181383959},{    0.263486032       -0.065953536        0.079659955},{    0.260913021       -0.070524240        0.077689129}
,{    0.069984166       -0.229570374        0.177971964},{    0.061274379       -0.219312851        0.181180257},{    0.263453072       -0.065762299        0.079696511},{    0.260886545       -0.070335328        0.077722933}
,{    0.070280672       -0.229801927        0.177757740},{    0.061543793       -0.219562812        0.180976360},{    0.263419904       -0.065571120        0.079733147},{    0.260859866       -0.070146465        0.077756817}
